start,end,duration_min
2018-08-31 12:00:00,2018-09-01 22:50:00,2090.0
2018-09-16 04:45:00,2018-09-16 22:25:00,1060.0
2018-09-16 22:45:00,2018-09-16 23:50:00,65.0
2018-09-17 01:55:00,2018-09-17 02:45:00,50.0
2018-09-26 12:50:00,2018-09-26 18:15:00,325.0
2018-09-26 23:25:00,2018-09-27 09:45:00,620.0
2018-09-27 09:55:00,2018-09-27 11:35:00,100.0
2018-09-27 19:25:00,2018-09-27 21:40:00,135.0
2018-09-28 04:05:00,2018-09-28 07:55:00,230.0
2018-09-29 02:10:00,2018-10-01 15:00:00,3650.0
2018-10-01 15:20:00,2018-10-02 13:45:00,1345.0
2018-10-02 16:35:00,2018-10-02 17:10:00,35.0
2018-10-02 19:30:00,2018-10-02 23:45:00,255.0
2018-10-03 00:10:00,2018-10-03 02:30:00,140.0
2018-10-03 02:55:00,2018-10-03 08:15:00,320.0
2018-10-03 13:15:00,2018-10-05 19:10:00,3235.0
2018-10-05 19:25:00,2018-10-07 22:35:00,3070.0
2018-10-07 22:45:00,2018-10-12 11:45:00,6540.0
2018-10-12 12:05:00,2018-10-16 08:10:00,5525.0
2019-03-10 06:00:00,2019-03-11 16:10:00,2050.0
2019-03-11 16:30:00,2019-03-12 16:05:00,1415.0
2019-03-12 16:30:00,2019-03-14 16:10:00,2860.0
2019-03-14 16:25:00,2019-03-15 16:05:00,1420.0
2019-03-15 16:25:00,2019-03-16 16:10:00,1425.0
2019-03-16 16:25:00,2019-03-16 22:10:00,345.0
2019-05-06 01:10:00,2019-05-06 13:45:00,755.0
2019-05-06 14:15:00,2019-05-07 21:15:00,1860.0
2019-05-07 22:25:00,2019-05-08 22:15:00,1430.0
2019-05-08 22:30:00,2019-05-09 20:00:00,1290.0
2019-05-09 20:10:00,2019-05-11 04:20:00,1930.0
2019-05-11 05:40:00,2019-05-12 02:30:00,1250.0
2019-05-12 02:50:00,2019-05-13 04:25:00,1535.0
2019-06-04 03:05:00,2019-06-04 11:20:00,495.0
2019-06-04 11:30:00,2019-06-05 14:25:00,1615.0
2019-06-05 14:45:00,2019-06-06 01:10:00,625.0
2019-06-06 01:30:00,2019-06-06 02:15:00,45.0
2019-06-06 02:30:00,2019-06-06 13:00:00,630.0
2019-06-06 13:15:00,2019-06-07 10:10:00,1255.0
2019-06-07 11:05:00,2019-06-09 12:20:00,2955.0
2019-06-09 12:40:00,2019-06-09 13:40:00,60.0
2019-06-09 14:05:00,2019-06-10 14:30:00,1465.0
2019-06-10 17:00:00,2019-06-10 17:45:00,45.0
2019-06-10 18:10:00,2019-06-11 03:15:00,545.0
2019-06-11 03:40:00,2019-06-11 05:30:00,110.0
2019-06-11 05:50:00,2019-06-11 06:50:00,60.0
2019-06-11 07:10:00,2019-06-11 22:20:00,910.0
2019-06-11 23:20:00,2019-06-12 03:50:00,270.0
2019-06-12 04:00:00,2019-06-15 13:35:00,4895.0
2019-06-15 13:55:00,2019-06-15 14:50:00,55.0
2019-06-15 15:40:00,2019-06-15 16:25:00,45.0
2019-06-15 16:45:00,2019-06-15 19:40:00,175.0
2019-06-15 20:30:00,2019-06-16 14:05:00,1055.0
2019-06-16 14:55:00,2019-06-16 20:55:00,360.0
