,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
Cyclone_Inlet_Gas_Temp,377092.0,867.7992564830186,52.67711209971712,777.0700000000003,777.0700000000003,777.0700000000003,856.2,882.37,901.11,934.06,969.83,987.6699999999997
Cyclone_Material_Temp,377092.0,887.4649446436293,83.76277204261594,738.6899999999997,738.6899999999997,738.6899999999997,867.57,913.34,943.64,985.8045000000001,1017.9509000000003,1087.9900000000002
Cyclone_Outlet_Gas_draft,377092.0,-185.40585762448774,85.4731561364843,-395.47,-296.63,-277.6,-247.19,-215.22,-169.98,-34.96999999999994,-34.96999999999994,-34.96999999999994
Cyclone_cone_draft,377092.0,-170.65301855824748,79.20862813046618,-365.09000000000003,-278.1609,-258.81,-226.76,-198.54,-143.4375,-31.98999999999998,-31.98999999999998,-31.98999999999998
Cyclone_Gas_Outlet_Temp,377092.0,841.0978054220778,82.54677026407592,700.8000000000001,700.8000000000001,700.8000000000001,801.53,871.5,899.29,933.07,961.8609000000002,1042.1999999999998
Cyclone_Inlet_Draft,377092.0,-148.94535005162314,63.841906978037045,-301.63,-236.82,-221.12,-193.49,-169.43,-136.17,-37.23000000000002,-37.23000000000002,-37.23000000000002
